,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x, Av 2011+2012+2013 extracted from WDI (constant 2010 US$),Country,Code,Income group_y,Region_y,Continent
53,2.4,36.44,3.9899999999999998,0.08,394.0334503,Ethiopia,ETH,Low income,Sub-Saharan Africa,Africa
54,15.77,25.08,5.33,10.4,3786.143043,Fiji,FJI,Upper middle income,East Asia & Pacific,Australia
55,25.43,30.44,34.129999999999995,10.36,46388.07505,Finland,FIN,High income,Europe & Central Asia,Eurpoe
56,28.68,29.29,26.83,9.07,41208.51468,France,FRA,High income,Europe & Central Asia,Eurpoe
57,34.92,20.25,11.510000000000002,13.29,,French Polynesia,PYF,High income,East Asia & Pacific,Australia
58,17.11,24.56,3.44,10.01,9226.986465,Gabon,GAB,Upper middle income,Sub-Saharan Africa,Africa
59,2.5300000000000002,40.66,4.8100000000000005,6.76,532.5079456,Gambia,GMB,Low income,Sub-Saharan Africa,Africa
60,8.809999999999999,43.74,14.879999999999999,3.16,3441.2679759999896,Georgia,GEO,Lower middle income,Europe & Central Asia,Asia
61,26.770000000000003,26.41,28.220000000000002,4.45,44246.44273,Germany,DEU,High income,Europe & Central Asia,Eurpoe
62,4.09,18.0,1.21,8.64,1550.88339,Ghana,GHA,Lower middle income,Sub-Saharan Africa,Africa
63,23.98,29.21,27.849999999999998,5.18,23192.4984,Greece,GRC,High income,Europe & Central Asia,Eurpoe
64,19.68,16.68,11.66,8.89,7365.20659899999,Grenada,GRD,Upper middle income,Latin America & Caribbean,North America
65,8.68,31.13,8.2,0.4,2910.593243,Guatemala,GTM,Upper middle income,Latin America & Caribbean,North America
66,3.6999999999999997,28.82,2.3200000000000003,2.74,675.3789775,Guinea,GIN,Low income,Sub-Saharan Africa,Africa
67,5.74,26.52,1.91,0.44,559.8100294,Guinea-Bissau,GNB,Low income,Sub-Saharan Africa,Africa
68,13.68,28.07,13.07,8.07,3340.731175,Guyana,GUY,Upper middle income,Latin America & Caribbean,South America
69,5.66,19.25,1.9100000000000001,1.45,702.0172057,Haiti,HTI,Low income,Latin America & Caribbean,North America
70,11.5,30.36,10.16,1.09,2005.3683019999899,Honduras,HND,Lower middle income,Latin America & Caribbean,North America
71,21.96,26.18,18.51,1.49,13351.22053,Hungary,HUN,High income,Europe & Central Asia,Eurpoe
72,28.380000000000003,24.28,33.690000000000005,27.52,43240.18047,Iceland,ISL,High income,Europe & Central Asia,Eurpoe
73,1.3599999999999999,32.34,8.92,1.55,1480.504426,India,IND,Lower middle income,South Asia,Asia
74,4.43,35.08,2.7199999999999998,9.44,3412.735487,Indonesia,IDN,Lower middle income,East Asia & Pacific,Asia
75,12.379999999999999,43.32,6.619999999999999,2.8,6213.12294,Iran (Islamic Republic of),IRN,Upper middle income,Middle East & North Africa,Asia
76,6.8100000000000005,42.6,4.6,0.91,5087.929698,Iraq,IRQ,Upper middle income,Middle East & North Africa,Asia
77,28.55,29.48,26.47,5.22,49961.34315,Ireland,IRL,High income,Europe & Central Asia,Eurpoe
78,39.55,34.39,22.869999999999997,5.66,31728.94463,Israel,ISR,High income,Middle East & North Africa,Asia
79,26.68,34.74,21.42,6.97,34922.24288,Italy,ITA,High income,Europe & Central Asia,Eurpoe
80,19.36,24.93,9.3,6.7,4715.497901,Jamaica,JAM,Upper middle income,Latin America & Caribbean,North America
81,16.15,21.98,13.16,17.96,45354.9367,Japan,JPN,High income,East Asia & Pacific,Asia
82,16.7,39.28,9.45,1.43,3487.176862,Jordan,JOR,Upper middle income,Middle East & North Africa,Asia
83,22.22,24.96,27.979999999999997,1.59,9965.06,Kazakhstan,KAZ,Upper middle income,Europe & Central Asia,Asia
84,5.029999999999999,28.03,8.41,1.26,1021.34,Kenya,KEN,Lower middle income,Sub-Saharan Africa,Africa
85,11.23,22.83,2.67,22.3,1556.044114,Kiribati,KIR,Lower middle income,East Asia & Pacific,Australia
86,29.630000000000003,35.0,16.78,3.94,39103.3109399999,Kuwait,KWT,High income,Middle East & North Africa,Asia
87,12.139999999999999,36.95,20.720000000000002,0.69,936.8605805,Kyrgyzstan,KGZ,Lower middle income,Europe & Central Asia,Asia
88,6.6899999999999995,36.86,0.86,6.01,1298.776791,Lao People's Democratic Republic,LAO,Lower middle income,East Asia & Pacific,Asia
89,19.310000000000002,26.93,21.87,7.34,12858.7995,Latvia,LVA,High income,Europe & Central Asia,Eurpoe
90,15.42,28.88,10.24,2.85,8103.985612,Lebanon,LBN,Upper middle income,Middle East & North Africa,Asia
