HouseholdId,Our_HouseholdId,Cell_Coord_y_round,Cell_Coord_x_round,MDD21,MDD22,MDD23,MDD24,MDD25,MDD26,MDD27,MDD28,MDD29,MDD30,MMD10,Urban.Rural,fao1,fao2,fao3,fao4,fao5,fao6,fao7,fao8,fao9,fao10,fao11,fao12,FAO12,ISO3N,Primary_Religion,Percent_Primary_Religion,Percent_Christian,GDP_PPP_2015,GDP_PPP_2000,GDP_PPP_1990,Population_2015,Population_2000,Population_1990,Cell_Coord_x,Cell_Coord_y,PerCapita_GDP_2000,PerCapita_GDP_1990,ISO3C,Continent,World_Region,Travel_time_to_cities group,PerCapita_GDP_2015 group,dist_popcenter group,dist_road group
101010000000.0,15,-9.83,33.42,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,6,454,0,97.5,97.5,3823810.6339999996,3330650.96,2824852.688,6297.450388,3896.6855560000004,2966.245325,33.375,-9.791666667000001,854.7394734,952.3327906999999,MWI,Africa,Eastern Africa,18,0,7,1
101010000000.0,16,-9.83,33.42,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,6,454,0,97.5,97.5,3823810.6339999996,3330650.96,2824852.688,6297.450388,3896.6855560000004,2966.245325,33.375,-9.791666667000001,854.7394734,952.3327906999999,MWI,Africa,Eastern Africa,18,0,7,1
101012000000.0,17,-9.92,33.42,1,1,0,0,1,0,1,0,1,1,2,0,1,0,1,1,0,1,0,0,1,1,0,1,7,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,18,-9.92,33.42,1,1,0,0,1,0,0,0,1,1,2,0,1,1,1,1,1,1,0,1,0,1,0,0,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,19,-9.92,33.42,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,20,-9.92,33.42,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,4,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,21,-9.92,33.42,1,1,0,0,1,0,0,0,1,1,2,0,1,1,1,1,0,1,0,1,1,1,0,1,9,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,22,-9.92,33.42,1,1,1,1,1,1,0,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,12,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,23,-9.92,33.42,1,1,1,0,1,1,1,0,1,1,3,0,1,1,1,1,1,1,0,1,1,1,1,1,11,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,24,-9.92,33.42,1,1,1,0,0,1,0,1,1,0,2,0,1,1,1,1,0,0,0,1,1,1,1,0,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,25,-9.92,33.42,1,1,0,0,0,0,1,0,1,1,2,0,1,1,1,1,0,1,0,0,0,1,0,0,6,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,26,-9.92,33.42,1,1,1,0,1,1,0,1,1,0,2,0,1,1,1,1,1,0,0,1,1,1,1,1,10,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,27,-9.92,33.42,1,1,0,0,1,0,1,0,1,0,2,0,1,1,1,1,1,0,0,1,0,1,0,1,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,28,-9.92,33.42,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,5,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,29,-9.92,33.42,1,1,1,0,1,1,1,0,1,1,3,0,1,1,1,1,1,1,0,1,1,1,1,1,11,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,30,-9.92,33.42,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
101012000000.0,31,-9.92,33.42,1,1,1,0,1,0,0,0,1,0,2,0,1,1,1,1,0,0,0,1,1,1,0,1,8,454,0,97.5,97.5,3522962.704,1646238.49,1396237.918,0.0,0.0,0.0,33.375,-9.875,0.0,0.0,MWI,Africa,Eastern Africa,20,0,6,1
