,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
11976,0.0,0.0,0.0,0.0,0.80952380952381,0.0,1,525504.7,10.27643,7.466481,7.844407,6.71639,4.175939,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,4
11977,0.0,0.18181818181818202,0.18181818181818202,0.0,0.599025974025974,0.36363636363636404,1,9450.799,2.245673,7.603746000000001,7.844407,6.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
11981,0.2,0.0,0.0,0.0,0.0,0.166666666666667,1,4869.613,5.77159,6.68497,6.940436999999999,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,1
12086,0.46,0.5,0.6272727272727271,0.272727272727273,1.35714285714286,1.54545454545455,1,45528.67,35.56302,5.483923,5.764372,5.801658,5.09917,IND,India,IND,2013.0,60.25,1,3,2,3,3,2,6
12087,0.6,0.25,0.0833333333333333,0.0,0.5,0.75,1,134445.9,9.517967,6.65987,6.931325,5.869026,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,3,2,1,1,3
12088,0.0,0.0,0.25,0.75,1.0,0.25,1,24204.47,20.51935,6.718597,6.931313,6.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,2,4,5
12089,0.33333333333333304,0.5,0.384615384615385,0.18181818181818202,0.666666666666667,1.1923076923076898,1,83682.86,3.527456,6.740939,6.94428,5.869026,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,3,2,1,3
12090,0.14285714285714302,0.25,0.17045454545454503,0.337662337662338,0.7142857142857142,0.545454545454545,1,38664.67,17.785,5.878518,5.996144999999999,5.869026,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,2,1,2,3
12092,0.384615384615385,0.2,0.266666666666667,0.0769230769230769,0.833333333333333,0.8,1,33032.51,1.0079639999999999,7.109882000000001,6.972881,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,2,1,4
12094,0.0,0.0624999999999999,0.25,0.1875,0.7857142857142858,0.3125,1,35832.91,30.13498,7.476501,7.9209830000000006,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,2,1,4
12184,0.621212121212121,0.0714285714285714,0.0606060606060606,0.1,0.9,0.7532467532467529,1,342831.6,14.5972,5.914471,5.697255999999999,5.801658,4.1978919999999995,IND,India,IND,2013.0,60.25,1,3,3,1,1,1,4
12185,0.5,0.2,0.55,0.1,1.0,1.15,1,1342.0320000000002,31.88257,6.925991000000001,6.931325,5.869026,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,3,1,3,1,5
12186,0.2,0.24285714285714302,0.6,0.2,1.5,1.04285714285714,1,2188043.0,0.0,7.615319,7.879448,6.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,3,1,7
12187,0.32142857142857106,0.153846153846154,0.549450549450549,0.0,1.33333333333333,1.0,1,393.7583,22.93769,7.6089850000000006,7.879448,6.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,3,1,6
12193,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0,0.7,0.45454545454545503,1,389624.0,17.56951,2.919636,0.0,5.931551,0.0,BGD,Bangladesh,BGD,2013.0,55.84,1,2,1,1,2,1,3
12292,0.337662337662338,0.29545454545454497,0.25,0.0833333333333333,1.05454545454545,0.8409090909090909,1,7668.286999999999,22.66486,5.330561,5.600713,5.172503,4.296615,IND,India,IND,2013.0,60.25,1,3,2,2,2,1,5
12293,0.4,0.0,0.0,0.0,1.0,0.4,1,140112.5,21.78833,6.572673,6.931325,5.869026,4.175939,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,1,1,5
12294,0.253846153846154,0.214285714285714,0.14412510566356698,0.0454545454545455,1.1181818181818202,0.605663567202029,1,24084.11,25.97922,6.6171169999999995,6.913805,5.858194999999999,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,1,1,5
12295,0.18783068783068801,0.25,0.107142857142857,0.0833333333333334,0.826086956521739,0.53826530612245,1,44523.8,8.728663000000001,6.548477,6.913792,5.858194999999999,4.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,2,1,1,4
12296,0.25603621730382303,0.184027777777778,0.268353174603175,0.0819672131147541,0.8716707021791759,0.6952054794520539,1,149985.9,0.0,6.167688,6.913792,5.858194999999999,4.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,2,1,4
12297,0.2,0.0,0.0545454545454545,0.0,0.892857142857143,0.25454545454545496,1,422753.3,8.994891,7.385957,7.89435,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,4
12300,0.6344444444444439,0.13235294117647,0.575490196078432,0.12946428571428598,0.9147619047619051,1.26764705882353,1,223833.0,0.4909049,6.864172,6.9961660000000006,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,3,1,3,1,4
12304,0.178571428571429,0.0,0.0,0.0,0.375,0.158730158730159,1,297355.0,31.50508,2.528059,0.0,6.778915,0.0,BGD,Bangladesh,BGD,2013.0,55.84,1,2,1,1,1,1,2
12405,0.14285714285714302,0.0,0.28571428571428603,0.261904761904762,1.0,0.34693877551020397,1,71712.17,0.0,5.699628,5.800298000000001,5.801658,5.148307,IND,India,IND,2013.0,60.25,1,3,1,1,2,2,5
